"";"DVS";"LAI";"W";"dW";"Temperature";"Irradiation"
"1";0;0,12;10;1,95677630596746;12,15;16,19136
"2";0,0126875;0,130962;11,9567763059675;2,78251228705836;14,4;21,17664
"3";0,0281875;0,1455773592;14,7392885930258;2,69706148333682;17,15;18,55872
"4";0,047125;0,16542683212692;17,4363500763627;3,60656711664769;18,55;21,9888
"5";0,0678125;0,190067158772225;21,0429171930103;4,30588692441013;17,8;23,04288
"6";0,0875625;0,217094708749635;25,3488041174205;4,89307199497895;17,45;23,13792
"7";0,106875;0,247281728001272;30,2418761123994;3,77994614610733;13,4;15,8544
"8";0,121125;0,272652833294202;34,0218222585068;3,75598624428314;9,05;14,41152
"9";0,1299375;0,289952655566719;37,7778085027899;6,24929389011152;10,05;22,68
"10";0,14;0,310959725462528;44,0271023929014;6,6369270675386;9,35;22,61952
"11";0,1491875;0,331529711301874;50,66402946044;7,21766799358664;8,65;23,23296
"12";0,1575;0,351371764523292;57,8816974540267;7,89834855146607;13,45;24,1488
"13";0,1718125;0,387580624857417;65,7800460054927;7,25534539665689;15,4;20,35584
"14";0,1885625;0,434322848215221;73,0353914021496;7,43388696144614;18,15;18,90432
"15";0,20875;0,497451674203304;80,4692783635957;9,21103363860147;20,15;20,88288
"16";0,2314375;0,578710405184413;89,6803120021972;11,6985860263991;18,45;23,4144
"17";0,252;0,664388480671966;101,378898028596;13,1391963048539;17,8;23,55264
"18";0,27175;0,758864522623519;114,51809433345;14,7728393571766;18,25;23,89824
"19";0,2920625;0,854887978445167;129,290933690627;15,1448499866856;17,4;22,4208
"20";0,3113125;0,953329503358624;144,435783677312;19,3922610127204;14,45;26,55072
"21";0,326875;1,07937919994131;163,828044690033;20,8568409365938;13,55;26,2224
"22";0,3413125;1,21494866602917;184,684885626627;23,0938007052999;13,75;26,87904
"23";0,356;1,36505837061362;207,778686331927;24,0861043227827;13,6;26,0928
"24";0,3705;1,5216180487117;231,864790654709;21,1388767069354;15,55;21,50496
"25";0,3874375;1,65902074730678;253,003667361645;23,2534768114406;17,55;22,56768
"26";0,406875;1,81016834658115;276,257144173085;25,0436773067965;14,55;23,2416
"27";0,4225625;1,97295224907532;301,300821479882;6,7338942278769;15;5,99616
"28";0,4388125;2,01672256155652;308,034715707759;14,976379897329;13,75;13,20192
"29";0,4535;2,11406903088916;323,011095605088;6,47606112538542;12,1;5,59008
"30";0,466125;2,15616342820417;329,487156730473;16,1823541593007;16,4;13,84992
"31";0,484125;2,26134873023962;345,669510889774;17,3322245174549;14,45;14,54112
"32";0,4996875;2,37400818960308;363,001735407229;20,2024704017146;14,45;16,62336
"33";0,51525;2,50532424721422;383,204205808943;17,5103812999694;17;14,11776
"34";0,534;2,61914172566403;400,714587108913;21,558428062939;15,35;17,1072
"35";0,5506875;2,75927150807313;422,273015171852;26,5184608020049;12,55;20,67552
"36";0,563875;2,93164150328616;448,791475973857;10,8885509054073;12,15;8,32896
"37";0,5765625;3,00241708417131;459,680026879264;12,0809377703674;10,6;9,17568
"38";0,5873125;3,0809431796787;471,760964649631;32,3641312349943;13,65;24,39936
"39";0,601875;3,29131003270616;504,125095884626;15,6437372680257;16,85;11,58624
"40";0,6204375;3,39299432494833;519,768833152651;25,554604691749;18,65;18,78336
"41";0,64125;3,5590992554447;545,3234378444;31,7976109087092;19,75;23,112
"42";0,6634375;3,76578372635131;577,12104875311;27,2513391284304;20,1;19,5696
"43";0,6860625;3,9429174306861;604,37238788154;20,6983134723576;18,75;14,7312
"44";0,707;4,07745646825643;625,070701353898;34,3687725620317;20,05;24,31296
"45";0,7295625;4,30085348990963;659,439473915929;30,2494332072159;20,9;21,2112
"46";0,7531875;4,49747480575654;689,688907123145;34,581387037101;18,1;24,08832
"47";0,7733125;4,72225382149769;724,270294160246;16,0302943108808;15,5;11,09376
"48";0,7901875;4,82645073451842;740,300588471127;6,12134574759507;12,15;4,22496
"49";0,802875;4,86623948187779;746,421934218722;11,5654002468164;10,05;7,97472
"50";0,8129375;4,94141458348209;757,987334465539;36,2760278117445;11,3;24,9696
"51";0,8245625;5,17720876425843;794,263362277283;22,7688080755431;14,75;15,5952
"52";0,8405;5,32520601674946;817,032170352826;15,8230476424392;14,25;10,80864
"53";0,8558125;5,42805582642532;832,855217995265;27,9246141833111;16,9;19,04256
"54";0,8744375;5,60956581861684;860,779832178576;19,6285691356924;17,35;13,3488
"55";0,893625;5,73715151799884;880,408401314269;21,6094245597302;18,7;14,67072
"56";0,9145;5,87761277763709;902,017825873999;31,0802914753418;19,2;21,06432
"57";0,936;6,07963467222681;933,098117349341;36,3993778340846;19,1;24,61536
"58";0,957375;6,31623062814836;969,497495183425;31,652102391426;22,2;21,35808
"59";0,982625;6,52196929369263;1001,14959757485;36,9748757968971;23,3;24,90912
"60";1,00925;6,76230598637246;1038,12447337175;22,3135395543044;19,4;15,00768
